date,kpi_name,kpi_value,weight,contribution,tsm_5d_return,soxx_vs_spy_5d,twd_5d_return,vix_change_5d,taiwan_cds_change_score,formula_variant,tsm_stress,soxx_spy_stress,twd_stress,vix_stress,cds_stress,raw_score
2026-05-18,Market_Stress,15.73,0.1,1.57,-1.2026,-5.4885,-0.8274,0.06,,0.0,1.2,5.49,0.83,0.06,0.0,15.73
2026-05-19,Market_Stress,2.47,0.1,0.25,,,-0.9671,0.36,,0.0,0.0,0.0,0.97,0.36,0.0,2.47
2026-05-20,Market_Stress,1.03,0.1,0.1,,,-0.4187,0.13,,0.0,0.0,0.0,0.42,0.13,0.0,1.03
2026-05-21,Market_Stress,0.0,0.1,0.0,,,0.1077,-0.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-22,Market_Stress,0.0,0.1,0.0,,,0.2452,-1.44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-23,Market_Stress,0.0,0.1,0.0,,,0.4369,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,Market_Stress,0.0,0.1,0.0,,,0.4369,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,Market_Stress,0.0,0.1,0.0,,,0.5509,-1.13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-26,Market_Stress,0.0,0.1,0.0,,,0.4345,-1.37,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-27,Market_Stress,0.0,0.1,0.0,,,1.0817,-0.51,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-28,Market_Stress,0.0,0.1,0.0,,,0.3583,-0.07,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-29,Market_Stress,0.0,0.1,0.0,,,0.516,-0.86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-30,Market_Stress,0.0,0.1,0.0,3.4436,4.4551,0.4431,-1.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-31,Market_Stress,0.0,0.1,0.0,3.4436,4.4551,0.4431,-1.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01,Market_Stress,0.0,0.1,0.0,,,,-0.83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-02,Market_Stress,0.0,0.1,0.0,,,0.0458,-0.89,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-03,Market_Stress,0.0,0.1,0.0,,,0.2318,-0.26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-04,Market_Stress,0.95,0.1,0.09,,,-0.0226,0.6,,0.0,0.0,0.0,0.02,0.6,0.0,0.95
2026-06-05,Market_Stress,0.57,0.1,0.06,,,,0.38,,0.0,0.0,0.0,0.0,0.38,0.0,0.57
2026-06-06,Market_Stress,1.1,0.1,0.11,,,-0.5479,,,0.0,0.0,0.0,0.55,0.0,0.0,1.1
2026-06-08,Market_Stress,5.83,0.1,0.58,,,-0.2964,3.49,,0.0,0.0,0.0,0.3,3.49,0.0,5.83
2026-06-09,Market_Stress,4.83,0.1,0.48,,,-0.7134,2.27,,0.0,0.0,0.0,0.71,2.27,0.0,4.83
2026-06-10,Market_Stress,8.42,0.1,0.84,,,-0.4822,4.97,,0.0,0.0,0.0,0.48,4.97,0.0,8.42
2026-06-11,Market_Stress,8.82,0.1,0.88,,,-0.392,5.36,,0.0,0.0,0.0,0.39,5.36,0.0,8.82
2026-06-12,Market_Stress,0.98,0.1,0.1,,,-0.492,-2.85,,0.0,0.0,0.0,0.49,0.0,0.0,0.98
2026-06-13,Market_Stress,0.68,0.1,0.07,2.3491,9.8943,-0.3397,-3.83,,0.0,0.0,0.0,0.34,0.0,0.0,0.68
2026-06-14,Market_Stress,0.68,0.1,0.07,2.3491,9.8943,-0.3397,-3.83,,0.0,0.0,0.0,0.34,0.0,0.0,0.68
2026-06-15,Market_Stress,0.0,0.1,0.0,,,0.2662,-2.28,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-16,Market_Stress,0.0,0.1,0.0,,,0.2343,-3.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-17,Market_Stress,0.28,0.1,0.03,,,-0.1398,-5.83,,0.0,0.0,0.0,0.14,0.0,0.0,0.28
2026-06-18,Market_Stress,0.0,0.1,0.0,,,0.17,-2.42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-19,Market_Stress,0.13,0.1,0.01,,,-0.0633,-0.51,,0.0,0.0,0.0,0.06,0.0,0.0,0.13
2026-06-20,Market_Stress,0.58,0.1,0.06,,,-0.2882,,,0.0,0.0,0.0,0.29,0.0,0.0,0.58
2026-06-21,Market_Stress,0.58,0.1,0.06,,,-0.2882,,,0.0,0.0,0.0,0.29,0.0,0.0,0.58
2026-06-22,Market_Stress,1.6,0.1,0.16,,,0.0032,1.07,,0.0,0.0,0.0,0.0,1.07,0.0,1.6
2026-06-23,Market_Stress,6.04,0.1,0.6,,,-0.4486,3.43,,0.0,0.0,0.0,0.45,3.43,0.0,6.04
2026-06-24,Market_Stress,2.19,0.1,0.22,,,-0.4946,0.8,,0.0,0.0,0.0,0.49,0.8,0.0,2.19
2026-06-25,Market_Stress,3.78,0.1,0.38,,,-0.6056,1.71,,0.0,0.0,0.0,0.61,1.71,0.0,3.78
2026-06-26,Market_Stress,1.16,0.1,0.12,,,-0.5819,,,0.0,0.0,0.0,0.58,0.0,0.0,1.16
2026-06-27,Market_Stress,1.32,0.1,0.13,,,-0.6578,,,0.0,0.0,0.0,0.66,0.0,0.0,1.32
2026-06-28,Market_Stress,1.32,0.1,0.13,,,-0.6578,,,0.0,0.0,0.0,0.66,0.0,0.0,1.32
2026-06-29,Market_Stress,2.52,0.1,0.25,,,-0.5394,0.96,,0.0,0.0,0.0,0.54,0.96,0.0,2.52
2026-06-30,Market_Stress,1.02,0.1,0.1,,,-0.5113,-1.88,,0.0,0.0,0.0,0.51,0.0,0.0,1.02
2026-07-01,Market_Stress,0.87,0.1,0.09,,,-0.435,-1.74,,0.0,0.0,0.0,0.43,0.0,0.0,0.87
2026-07-02,Market_Stress,0.41,0.1,0.04,,,-0.2043,-2.11,,0.0,0.0,0.0,0.2,0.0,0.0,0.41
2026-07-03,Market_Stress,0.33,0.1,0.03,,,-0.1664,-2.48,,0.0,0.0,0.0,0.17,0.0,0.0,0.33
2026-07-04,Market_Stress,0.4,0.1,0.04,,,-0.1977,,,0.0,0.0,0.0,0.2,0.0,0.0,0.4
2026-07-05,Market_Stress,0.4,0.1,0.04,,,-0.1977,,,0.0,0.0,0.0,0.2,0.0,0.0,0.4
2026-07-06,Market_Stress,1.03,0.1,0.1,,,-0.515,-1.34,,0.0,0.0,0.0,0.52,0.0,0.0,1.03
2026-07-07,Market_Stress,1.44,0.1,0.14,,,-0.7221,-0.58,,0.0,0.0,0.0,0.72,0.0,0.0,1.44
2026-07-09,Market_Stress,2.86,0.1,0.29,,,-0.8879,0.72,,0.0,0.0,0.0,0.89,0.72,0.0,2.86
2026-07-10,Market_Stress,1.21,0.1,0.12,,,-0.6047,,,0.0,0.0,0.0,0.6,0.0,0.0,1.21
2026-07-11,Market_Stress,1.05,0.1,0.11,,,-0.5264,,,0.0,0.0,0.0,0.53,0.0,0.0,1.05
2026-07-12,Market_Stress,1.05,0.1,0.11,,,-0.5264,,,0.0,0.0,0.0,0.53,0.0,0.0,1.05
2026-07-13,Market_Stress,1.81,0.1,0.18,,,-0.4698,0.58,,0.0,0.0,0.0,0.47,0.58,0.0,1.81
2026-07-14,Market_Stress,2.37,0.1,0.24,,,-0.2904,1.19,,0.0,0.0,0.0,0.29,1.19,0.0,2.37
2026-07-15,Market_Stress,0.38,0.1,0.04,,,-0.1901,-0.55,,0.0,0.0,0.0,0.19,0.0,0.0,0.38
2026-07-16,Market_Stress,0.84,0.1,0.08,,,-0.2703,0.2,,0.0,0.0,0.0,0.27,0.2,0.0,0.84
2026-07-18,Market_Stress,45.25,0.1,4.53,-8.2329,-8.6957,-0.8344,3.74,,0.0,8.23,8.7,0.83,3.74,0.0,45.25
2026-07-19,Market_Stress,45.25,0.1,4.53,-8.2329,-8.6957,-0.8344,3.74,,0.0,8.23,8.7,0.83,3.74,0.0,45.25
2026-07-20,Market_Stress,3.28,0.1,0.33,,,-0.6041,1.38,,0.0,0.0,0.0,0.6,1.38,0.0,3.28
2026-07-21,Market_Stress,2.38,0.1,0.24,,,-0.4415,1.0,,0.0,0.0,0.0,0.44,1.0,0.0,2.38
2026-07-22,Market_Stress,4.23,0.1,0.42,,,-0.7503,1.82,,0.0,0.0,0.0,0.75,1.82,0.0,4.23
2026-07-23,Market_Stress,1.78,0.1,0.18,,,-0.2238,0.89,,0.0,0.0,0.0,0.22,0.89,0.0,1.78
2026-07-25,Market_Stress,0.17,0.1,0.02,,,-0.0836,,,0.0,0.0,0.0,0.08,0.0,0.0,0.17
2026-07-28,Market_Stress,3.51,0.1,0.35,,,-0.3504,1.87,,0.0,0.0,0.0,0.35,1.87,0.0,3.51
2026-07-29,Market_Stress,2.89,0.1,0.29,,,-0.2277,1.62,,0.0,0.0,0.0,0.23,1.62,0.0,2.89
2026-07-31,Market_Stress,0.0,0.1,0.0,,,0.0155,-1.83,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-01,Market_Stress,0.0,0.1,0.0,,,0.0845,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-02,Market_Stress,0.0,0.1,0.0,,,0.0845,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-03,Market_Stress,0.7,0.1,0.07,,,-0.3487,-2.63,,0.0,0.0,0.0,0.35,0.0,0.0,0.7
2026-08-04,Market_Stress,0.74,0.1,0.07,,,-0.3684,-2.41,,0.0,0.0,0.0,0.37,0.0,0.0,0.74
2026-08-10,Market_Stress,0.0,0.1,0.0,,,0.2109,-0.44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
